24984	1	1	u,Маг. Защ. +18. Скорость +7.\0	u,Урон от физических умений +93. Расход MP -3%.\0	u,Сила Крит. Атк. +41,3. Шанс Крит. Атк. Магией +2.\0
25075	1	1	u,Уворот + 0,47\0	u,Крит. +5,7\0	a,
25076	1	1	u,Точность +0,764\0	u,Крит. +5,7\0	a,
25077	1	1	u,Физ. Защ. +15,71\0	a,	a,
25078	1	1	u,Маг. Защ. +14,22\0	a,	a,
25079	1	1	u,Макс. HP +38,51\0	a,	a,
25080	1	1	u,Макс. MP +16,98\0	a,	a,
25081	1	1	u,Макс. CP +75,82\0	a,	a,
25082	1	1	u,Физ. Атк. +19,66\0	a,	a,
25083	1	1	u,Маг. Атк. +24,74\0	a,	a,
25084	1	1	u,Восстановление HP +0,15\0	a,	a,
25085	1	1	u,Восстановление MP +0,06\0	a,	a,
25086	1	1	u,Восстановление CP +0,15\0	a,	a,
25087	1	1	u,Уворот + 0,94\0	a,	a,
25088	1	1	u,Точность +1,528\0	a,	a,
25089	1	1	u,Крит. +11,4\0	a,	a,
25090	1	1	u,Физ. Защ. +7,855\0	u,Маг. Защ. +7,11\0	a,
25091	1	1	u,Физ. Защ. +7,855\0	u,Макс. HP +19,255\0	a,
25092	1	1	u,Физ. Защ. +7,855\0	u,Макс. MP +8,49\0	a,
25093	1	1	u,Физ. Защ. +7,855\0	u,Макс. CP +37,91\0	a,
25094	1	1	u,Физ. Защ. +7,855\0	u,Физ. Атк. +9,83\0	a,
25095	1	1	u,Физ. Защ. +7,855\0	u,Маг. Атк. +12,37\0	a,
25096	1	1	u,Физ. Защ. +7,855\0	u,Восстановление HP +0,075\0	a,
25097	1	1	u,Физ. Защ. +7,855\0	u,Восстановление MP +0,03\0	a,
25098	1	1	u,Физ. Защ. +7,855\0	u,Восстановление CP +0,075\0	a,
25099	1	1	u,Физ. Защ. +7,855\0	u,Уворот + 0,47\0	a,
25100	1	1	u,Физ. Защ. +7,855\0	u,Точность +0,764\0	a,
25101	1	1	u,Физ. Защ. +7,855\0	u,Крит. +5,7\0	a,
25102	1	1	u,Маг. Защ. +7,11\0	u,Макс. HP +19,255\0	a,
25103	1	1	u,Маг. Защ. +7,11\0	u,Макс. MP +8,49\0	a,
25104	1	1	u,Маг. Защ. +7,11\0	u,Макс. CP +37,91\0	a,
25105	1	1	u,Маг. Защ. +7,11\0	u,Физ. Атк. +9,83\0	a,
25106	1	1	u,Маг. Защ. +7,11\0	u,Маг. Атк. +12,37\0	a,
25107	1	1	u,Маг. Защ. +7,11\0	u,Восстановление HP +0,075\0	a,
25108	1	1	u,Маг. Защ. +7,11\0	u,Восстановление MP +0,03\0	a,
25109	1	1	u,Маг. Защ. +7,11\0	u,Восстановление CP +0,075\0	a,
25110	1	1	u,Маг. Защ. +7,11\0	u,Уворот + 0,47\0	a,
25111	1	1	u,Маг. Защ. +7,11\0	u,Точность +0,764\0	a,
25112	1	1	u,Маг. Защ. +7,11\0	u,Крит. +5,7\0	a,
25113	1	1	u,Макс. HP +19,255\0	u,Макс. MP +8,49\0	a,
25114	1	1	u,Макс. HP +19,255\0	u,Макс. CP +37,91\0	a,
25115	1	1	u,Макс. HP +19,255\0	u,Физ. Атк. +9,83\0	a,
25116	1	1	u,Макс. HP +19,255\0	u,Маг. Атк. +12,37\0	a,
25117	1	1	u,Макс. HP +19,255\0	u,Восстановление HP +0,075\0	a,
25118	1	1	u,Макс. HP +19,255\0	u,Восстановление MP +0,03\0	a,
25119	1	1	u,Макс. HP +19,255\0	u,Восстановление CP +0,075\0	a,
25120	1	1	u,Макс. HP +19,255\0	u,Уворот + 0,47\0	a,
25121	1	1	u,Макс. HP +19,255\0	u,Точность +0,764\0	a,
25122	1	1	u,Макс. HP +19,255\0	u,Крит. +5,7\0	a,
25123	1	1	u,Макс. MP +8,49\0	u,Макс. CP +37,91\0	a,
25124	1	1	u,Макс. MP +8,49\0	u,Физ. Атк. +9,83\0	a,
25125	1	1	u,Макс. MP +8,49\0	u,Маг. Атк. +12,37\0	a,
25126	1	1	u,Макс. MP +8,49\0	u,Восстановление HP +0,075\0	a,
25127	1	1	u,Макс. MP +8,49\0	u,Восстановление MP +0,03\0	a,
25128	1	1	u,Макс. MP +8,49\0	u,Восстановление CP +0,075\0	a,
25129	1	1	u,Макс. MP +8,49\0	u,Уворот + 0,47\0	a,
25130	1	1	u,Макс. MP +8,49\0	u,Точность +0,764\0	a,
25131	1	1	u,Макс. MP +8,49\0	u,Крит. +5,7\0	a,
25132	1	1	u,Макс. CP +37,91\0	u,Физ. Атк. +9,83\0	a,
25133	1	1	u,Макс. CP +37,91\0	u,Маг. Атк. +12,37\0	a,
25134	1	1	u,Макс. CP +37,91\0	u,Восстановление HP +0,075\0	a,
25135	1	1	u,Макс. CP +37,91\0	u,Восстановление MP +0,03\0	a,
25136	1	1	u,Макс. CP +37,91\0	u,Восстановление CP +0,075\0	a,
25137	1	1	u,Макс. CP +37,91\0	u,Уворот + 0,47\0	a,
25138	1	1	u,Макс. CP +37,91\0	u,Точность +0,764\0	a,
25139	1	1	u,Макс. CP +37,91\0	u,Крит. +5,7\0	a,
25140	1	1	u,Физ. Атк. +9,83\0	u,Маг. Атк. +12,37\0	a,
25141	1	1	u,Физ. Атк. +9,83\0	u,Восстановление HP +0,075\0	a,
25142	1	1	u,Физ. Атк. +9,83\0	u,Восстановление MP +0,03\0	a,
25143	1	1	u,Физ. Атк. +9,83\0	u,Восстановление CP +0,075\0	a,
25144	1	1	u,Физ. Атк. +9,83\0	u,Уворот + 0,47\0	a,
25145	1	1	u,Физ. Атк. +9,83\0	u,Точность +0,764\0	a,
25146	1	1	u,Физ. Атк. +9,83\0	u,Крит. +5,7\0	a,
25147	1	1	u,Маг. Атк. +12,37\0	u,Восстановление HP +0,075\0	a,
25148	1	1	u,Маг. Атк. +12,37\0	u,Восстановление MP +0,03\0	a,
25149	1	1	u,Маг. Атк. +12,37\0	u,Восстановление CP +0,075\0	a,
25150	1	1	u,Маг. Атк. +12,37\0	u,Уворот + 0,47\0	a,
25151	1	1	u,Маг. Атк. +12,37\0	u,Точность +0,764\0	a,
25152	1	1	u,Маг. Атк. +12,37\0	u,Крит. +5,7\0	a,
25153	1	1	u,Восстановление HP +0,075\0	u,Восстановление MP +0,03\0	a,
25154	1	1	u,Восстановление HP +0,075\0	u,Восстановление CP +0,075\0	a,
25155	1	1	u,Восстановление HP +0,075\0	u,Уворот + 0,47\0	a,
25156	1	1	u,Восстановление HP +0,075\0	u,Точность +0,764\0	a,
25157	1	1	u,Восстановление HP +0,075\0	u,Крит. +5,7\0	a,
25158	1	1	u,Восстановление MP +0,03\0	u,Восстановление CP +0,075\0	a,
25159	1	1	u,Восстановление MP +0,03\0	u,Уворот + 0,47\0	a,
25160	1	1	u,Восстановление MP +0,03\0	u,Точность +0,764\0	a,
25161	1	1	u,Восстановление MP +0,03\0	u,Крит. +5,7\0	a,
25162	1	1	u,Восстановление CP +0,075\0	u,Уворот + 0,47\0	a,
25163	1	1	u,Восстановление CP +0,075\0	u,Точность +0,764\0	a,
25164	1	1	u,Восстановление CP +0,075\0	u,Крит. +5,7\0	a,
25165	1	1	u,Уворот + 0,47\0	u,Точность +0,764\0	a,
25166	1	1	u,Уворот + 0,47\0	u,Крит. +5,7\0	a,
25167	1	1	u,Точность +0,764\0	u,Крит. +5,7\0	a,
25168	1	1	u,Физ. Защ. +17,38\0	a,	a,
25169	1	1	u,Маг. Защ. +16,04\0	a,	a,
25170	1	1	u,Макс. HP +40,44\0	a,	a,
25171	1	1	u,Макс. MP +18,13\0	a,	a,
25172	1	1	u,Макс. CP +79,61\0	a,	a,
25173	1	1	u,Физ. Атк. +23,41\0	a,	a,
25174	1	1	u,Маг. Атк. +30,27\0	a,	a,
25175	1	1	u,Восстановление HP +0,15\0	a,	a,
25176	1	1	u,Восстановление MP +0,06\0	a,	a,
25177	1	1	u,Восстановление CP +0,15\0	a,	a,
25178	1	1	u,Уворот + 0,94\0	a,	a,
25179	1	1	u,Точность +1,528\0	a,	a,
25180	1	1	u,Крит. +11,4\0	a,	a,
25181	1	1	u,Физ. Защ. +8,69\0	u,Маг. Защ. +8,02\0	a,
25182	1	1	u,Физ. Защ. +8,69\0	u,Макс. HP +20,22\0	a,
25183	1	1	u,Физ. Защ. +8,69\0	u,Макс. MP +9,065\0	a,
25184	1	1	u,Физ. Защ. +8,69\0	u,Макс. CP +39,805\0	a,
25185	1	1	u,Физ. Защ. +8,69\0	u,Физ. Атк. +11,705\0	a,
25186	1	1	u,Физ. Защ. +8,69\0	u,Маг. Атк. +15,135\0	a,
25187	1	1	u,Физ. Защ. +8,69\0	u,Восстановление HP +0,075\0	a,
25188	1	1	u,Физ. Защ. +8,69\0	u,Восстановление MP +0,03\0	a,
25189	1	1	u,Физ. Защ. +8,69\0	u,Восстановление CP +0,075\0	a,
25190	1	1	u,Физ. Защ. +8,69\0	u,Уворот + 0,47\0	a,
25191	1	1	u,Физ. Защ. +8,69\0	u,Точность +0,764\0	a,
25192	1	1	u,Физ. Защ. +8,69\0	u,Крит. +5,7\0	a,
25193	1	1	u,Маг. Защ. +8,02\0	u,Макс. HP +20,22\0	a,
25194	1	1	u,Маг. Защ. +8,02\0	u,Макс. MP +9,065\0	a,
25195	1	1	u,Маг. Защ. +8,02\0	u,Макс. CP +39,805\0	a,
25196	1	1	u,Маг. Защ. +8,02\0	u,Физ. Атк. +11,705\0	a,
25197	1	1	u,Маг. Защ. +8,02\0	u,Маг. Атк. +15,135\0	a,
25198	1	1	u,Маг. Защ. +8,02\0	u,Восстановление HP +0,075\0	a,
25199	1	1	u,Маг. Защ. +8,02\0	u,Восстановление MP +0,03\0	a,
25200	1	1	u,Маг. Защ. +8,02\0	u,Восстановление CP +0,075\0	a,
25201	1	1	u,Маг. Защ. +8,02\0	u,Уворот + 0,47\0	a,
25202	1	1	u,Маг. Защ. +8,02\0	u,Точность +0,764\0	a,
25203	1	1	u,Маг. Защ. +8,02\0	u,Крит. +5,7\0	a,
25204	1	1	u,Макс. HP +20,22\0	u,Макс. MP +9,065\0	a,
25205	1	1	u,Макс. HP +20,22\0	u,Макс. CP +39,805\0	a,
25206	1	1	u,Макс. HP +20,22\0	u,Физ. Атк. +11,705\0	a,
25207	1	1	u,Макс. HP +20,22\0	u,Маг. Атк. +15,135\0	a,
25208	1	1	u,Макс. HP +20,22\0	u,Восстановление HP +0,075\0	a,
25209	1	1	u,Макс. HP +20,22\0	u,Восстановление MP +0,03\0	a,
25210	1	1	u,Макс. HP +20,22\0	u,Восстановление CP +0,075\0	a,
25211	1	1	u,Макс. HP +20,22\0	u,Уворот + 0,47\0	a,
25212	1	1	u,Макс. HP +20,22\0	u,Точность +0,764\0	a,
25213	1	1	u,Макс. HP +20,22\0	u,Крит. +5,7\0	a,
25214	1	1	u,Макс. MP +9,065\0	u,Макс. CP +39,805\0	a,
25215	1	1	u,Макс. MP +9,065\0	u,Физ. Атк. +11,705\0	a,
25216	1	1	u,Макс. MP +9,065\0	u,Маг. Атк. +15,135\0	a,
25217	1	1	u,Макс. MP +9,065\0	u,Восстановление HP +0,075\0	a,
25218	1	1	u,Макс. MP +9,065\0	u,Восстановление MP +0,03\0	a,
25219	1	1	u,Макс. MP +9,065\0	u,Восстановление CP +0,075\0	a,
25220	1	1	u,Макс. MP +9,065\0	u,Уворот + 0,47\0	a,
25221	1	1	u,Макс. MP +9,065\0	u,Точность +0,764\0	a,
25222	1	1	u,Макс. MP +9,065\0	u,Крит. +5,7\0	a,
25223	1	1	u,Макс. CP +39,805\0	u,Физ. Атк. +11,705\0	a,
25224	1	1	u,Макс. CP +39,805\0	u,Маг. Атк. +15,135\0	a,
25225	1	1	u,Макс. CP +39,805\0	u,Восстановление HP +0,075\0	a,
25226	1	1	u,Макс. CP +39,805\0	u,Восстановление MP +0,03\0	a,
25227	1	1	u,Макс. CP +39,805\0	u,Восстановление CP +0,075\0	a,
25228	1	1	u,Макс. CP +39,805\0	u,Уворот + 0,47\0	a,
25229	1	1	u,Макс. CP +39,805\0	u,Точность +0,764\0	a,
25230	1	1	u,Макс. CP +39,805\0	u,Крит. +5,7\0	a,
25231	1	1	u,Физ. Атк. +11,705\0	u,Маг. Атк. +15,135\0	a,
25232	1	1	u,Физ. Атк. +11,705\0	u,Восстановление HP +0,075\0	a,
25233	1	1	u,Физ. Атк. +11,705\0	u,Восстановление MP +0,03\0	a,
25234	1	1	u,Физ. Атк. +11,705\0	u,Восстановление CP +0,075\0	a,
25235	1	1	u,Физ. Атк. +11,705\0	u,Уворот + 0,47\0	a,
25236	1	1	u,Физ. Атк. +11,705\0	u,Точность +0,764\0	a,
25237	1	1	u,Физ. Атк. +11,705\0	u,Крит. +5,7\0	a,
25238	1	1	u,Маг. Атк. +15,135\0	u,Восстановление HP +0,075\0	a,
25239	1	1	u,Маг. Атк. +15,135\0	u,Восстановление MP +0,03\0	a,
25240	1	1	u,Маг. Атк. +15,135\0	u,Восстановление CP +0,075\0	a,
25241	1	1	u,Маг. Атк. +15,135\0	u,Уворот + 0,47\0	a,
25242	1	1	u,Маг. Атк. +15,135\0	u,Точность +0,764\0	a,
25243	1	1	u,Маг. Атк. +15,135\0	u,Крит. +5,7\0	a,
25244	1	1	u,Восстановление HP +0,075\0	u,Восстановление MP +0,03\0	a,
25245	1	1	u,Восстановление HP +0,075\0	u,Восстановление CP +0,075\0	a,
25246	1	1	u,Восстановление HP +0,075\0	u,Уворот + 0,47\0	a,
25247	1	1	u,Восстановление HP +0,075\0	u,Точность +0,764\0	a,
25248	1	1	u,Восстановление HP +0,075\0	u,Крит. +5,7\0	a,
25249	1	1	u,Восстановление MP +0,03\0	u,Восстановление CP +0,075\0	a,
25250	1	1	u,Восстановление MP +0,03\0	u,Уворот + 0,47\0	a,
25251	1	1	u,Восстановление MP +0,03\0	u,Точность +0,764\0	a,
25252	1	1	u,Восстановление MP +0,03\0	u,Крит. +5,7\0	a,
25253	1	1	u,Восстановление CP +0,075\0	u,Уворот + 0,47\0	a,
25254	1	1	u,Восстановление CP +0,075\0	u,Точность +0,764\0	a,
25255	1	1	u,Восстановление CP +0,075\0	u,Крит. +5,7\0	a,
25256	1	1	u,Уворот + 0,47\0	u,Точность +0,764\0	a,
25257	1	1	u,Уворот + 0,47\0	u,Крит. +5,7\0	a,
25258	1	1	u,Точность +0,764\0	u,Крит. +5,7\0	a,
25259	2	1	u,Физ. Защ. +16,76\0	a,	a,
25260	2	1	u,Маг. Защ. +14,45\0	a,	a,
25261	2	1	u,Макс. HP +47,03\0	a,	a,
25262	2	1	u,Макс. MP +18,96\0	a,	a,
25263	2	1	u,Макс. CP +92,59\0	a,	a,
25264	2	1	u,Физ. Атк. +17,63\0	a,	a,
25265	2	1	u,Маг. Атк. +21,1\0	a,	a,
25266	2	1	u,Восстановление HP +0,19\0	a,	a,
25267	2	1	u,Восстановление MP +0,08\0	a,	a,
25268	2	1	u,Восстановление CP +0,19\0	a,	a,
25269	2	1	u,Уворот + 1,292\0	a,	a,
25270	2	1	u,Точность +1,88\0	a,	a,
25271	2	1	u,Крит. +14,1\0	a,	a,
25272	2	1	u,Физ. Защ. +8,815\0	u,Маг. Защ. +7,225\0	a,
25273	2	1	u,Физ. Защ. +8,815\0	u,Макс. HP +23,515\0	a,
25274	2	1	u,Физ. Защ. +8,815\0	u,Макс. MP +9,48\0	a,
25275	2	1	u,Физ. Защ. +8,815\0	u,Макс. CP +46,295\0	a,
25276	2	1	u,Физ. Защ. +8,815\0	u,Физ. Атк. +8,815\0	a,
25277	2	1	u,Физ. Защ. +8,815\0	u,Маг. Атк. +10,55\0	a,
25278	2	1	u,Физ. Защ. +8,815\0	u,Восстановление HP +0,095\0	a,
25279	2	1	u,Физ. Защ. +8,815\0	u,Восстановление MP +0,04\0	a,
25280	2	1	u,Физ. Защ. +8,815\0	u,Восстановление CP +0,095\0	a,
25281	2	1	u,Физ. Защ. +8,815\0	u,Уворот + 0,646\0	a,
25282	2	1	u,Физ. Защ. +8,815\0	u,Точность +0,94\0	a,
25283	2	1	u,Физ. Защ. +8,815\0	u,Крит. +7,05\0	a,
25284	2	1	u,Маг. Защ. +7,225\0	u,Макс. HP +23,515\0	a,
25285	2	1	u,Маг. Защ. +7,225\0	u,Макс. MP +9,48\0	a,
25286	2	1	u,Маг. Защ. +7,225\0	u,Макс. CP +46,295\0	a,
25287	2	1	u,Маг. Защ. +7,225\0	u,Физ. Атк. +8,815\0	a,
25288	2	1	u,Маг. Защ. +7,225\0	u,Маг. Атк. +10,55\0	a,
25289	2	1	u,Маг. Защ. +7,225\0	u,Восстановление HP +0,095\0	a,
25290	2	1	u,Маг. Защ. +7,225\0	u,Восстановление MP +0,04\0	a,
25291	2	1	u,Маг. Защ. +7,225\0	u,Восстановление CP +0,095\0	a,
25292	2	1	u,Маг. Защ. +7,225\0	u,Уворот + 0,646\0	a,
25293	2	1	u,Маг. Защ. +7,225\0	u,Точность +0,94\0	a,
25294	2	1	u,Маг. Защ. +7,225\0	u,Крит. +7,05\0	a,
25295	2	1	u,Макс. HP +23,515\0	u,Макс. MP +9,48\0	a,
25296	2	1	u,Макс. HP +23,515\0	u,Макс. CP +46,295\0	a,
25297	2	1	u,Макс. HP +23,515\0	u,Физ. Атк. +8,815\0	a,
25298	2	1	u,Макс. HP +23,515\0	u,Маг. Атк. +10,55\0	a,
25299	2	1	u,Макс. HP +23,515\0	u,Восстановление HP +0,095\0	a,
25300	2	1	u,Макс. HP +23,515\0	u,Восстановление MP +0,04\0	a,
25301	2	1	u,Макс. HP +23,515\0	u,Восстановление CP +0,095\0	a,
25302	2	1	u,Макс. HP +23,515\0	u,Уворот + 0,646\0	a,
25303	2	1	u,Макс. HP +23,515\0	u,Точность +0,94\0	a,
25304	2	1	u,Макс. HP +23,515\0	u,Крит. +7,05\0	a,
25305	2	1	u,Макс. MP +9,48\0	u,Макс. CP +46,295\0	a,
25306	2	1	u,Макс. MP +9,48\0	u,Физ. Атк. +8,815\0	a,
25307	2	1	u,Макс. MP +9,48\0	u,Маг. Атк. +10,55\0	a,
25308	2	1	u,Макс. MP +9,48\0	u,Восстановление HP +0,095\0	a,
25309	2	1	u,Макс. MP +9,48\0	u,Восстановление MP +0,04\0	a,
25310	2	1	u,Макс. MP +9,48\0	u,Восстановление CP +0,095\0	a,
25311	2	1	u,Макс. MP +9,48\0	u,Уворот + 0,646\0	a,
25312	2	1	u,Макс. MP +9,48\0	u,Точность +0,94\0	a,
25313	2	1	u,Макс. MP +9,48\0	u,Крит. +7,05\0	a,
25314	2	1	u,Макс. CP +46,295\0	u,Физ. Атк. +8,815\0	a,
25315	2	1	u,Макс. CP +46,295\0	u,Маг. Атк. +10,55\0	a,
25316	2	1	u,Макс. CP +46,295\0	u,Восстановление HP +0,095\0	a,
25317	2	1	u,Макс. CP +46,295\0	u,Восстановление MP +0,04\0	a,
25318	2	1	u,Макс. CP +46,295\0	u,Восстановление CP +0,095\0	a,
25319	2	1	u,Макс. CP +46,295\0	u,Уворот + 0,646\0	a,
25320	2	1	u,Макс. CP +46,295\0	u,Точность +0,94\0	a,
25321	2	1	u,Макс. CP +46,295\0	u,Крит. +7,05\0	a,
25322	2	1	u,Физ. Атк. +8,815\0	u,Маг. Атк. +10,55\0	a,
25323	2	1	u,Физ. Атк. +8,815\0	u,Восстановление HP +0,095\0	a,
25324	2	1	u,Физ. Атк. +8,815\0	u,Восстановление MP +0,04\0	a,
25325	2	1	u,Физ. Атк. +8,815\0	u,Восстановление CP +0,095\0	a,
25326	2	1	u,Физ. Атк. +8,815\0	u,Уворот + 0,646\0	a,
25327	2	1	u,Физ. Атк. +8,815\0	u,Точность +0,94\0	a,
25328	2	1	u,Физ. Атк. +8,815\0	u,Крит. +7,05\0	a,
25329	2	1	u,Маг. Атк. +10,55\0	u,Восстановление HP +0,095\0	a,
25330	2	1	u,Маг. Атк. +10,55\0	u,Восстановление MP +0,04\0	a,
25331	2	1	u,Маг. Атк. +10,55\0	u,Восстановление CP +0,095\0	a,
25332	2	1	u,Маг. Атк. +10,55\0	u,Уворот + 0,646\0	a,
25333	2	1	u,Маг. Атк. +10,55\0	u,Точность +0,94\0	a,
25334	2	1	u,Маг. Атк. +10,55\0	u,Крит. +7,05\0	a,
25335	2	1	u,Восстановление HP +0,095\0	u,Восстановление MP +0,04\0	a,
25336	2	1	u,Восстановление HP +0,095\0	u,Восстановление CP +0,095\0	a,
25337	2	1	u,Восстановление HP +0,095\0	u,Уворот + 0,646\0	a,
